,"Aaron
,"cup
(e274)",,"curse
(e05a)",,"curtain
(e254)",,"Cush_land
(e1e2)",
,"Cush_man
(edca)",,"custom
(eb10)",,"cymbol
(ebe3)",,"Cypress
(edcb)",
,"Cyprus
(eb88)",,"Cyrene
(eb59)",,"Dalmanutha
(e344)",,"Dalmatia
(ecb1)",
,"Damaris
(eb37)",,"Damascus
(ec31)",,"Dan_land
(edcc)",,"Dan_man
(edcd)",
,"dance
(e259)",,"Daniel
(ea78)",,"dark
(ea17)",,"daughter
(e00c)",
,"daughters
(e00d)",,"David
(e35e)",,"dead
(e181)",,"deaf
(e191)",
,"Deborah
(efb5)",,"Decapolis
(e33e)",,"deceive
(e17f)",,"deceiver
(e152)",
,"Dedan
(edce)",,"deep
(e321)",,"deer
(efb6)",,"Demes
(ecb2)",
,"Demetrius
(eb1a)",,"demon
(eb87)",,"denarius
(e165)",,"deny
(e0e5)",
,"Derbe
(eb43)",,"descend
(e317)",,"descendant
(eb60)",,"desire
(e020)",
,"Didymus
(ebb6)",,"different
(ecff)",,"difficult
(e093)",,"Diklah
(e1ac)",
,"Dinah
(efb7)",,"Dinhabah
(efed)",,"Dionysius
(eb78)",,"Diotrephes
(ece2)",
,"direction
(e323)",,"dirt
(e15b)",,"dirty
(e249)",,"disciple
(e142)",
,"discipline
(eda5)",,"discourage
(e261)",,"Dishan
(e1ec)",,"Dishon
(efee)",
,"disobey
(e193)",,"divide
(e326)",,"divorce
(ea3d)",,"doctor
(e144)",
,"Dodanim
(edcf)",,"dog
(e104)",,"dominion
(e032)",,"donkey
(ea09)",
,"door
(e23e)",,"Dorcas
(ec2c)",,"Dothan
(efa3)",,"doubt
(e194)",
,"dough
(ea36)",,"dove
(e25e)",,"down
(e319)",,"dragon
(ecdf)",
,"dream
(ea80)",,"drunk
(ea8d)",,"Drusilla
(eb9c)",,"dry
(e188)",
,"Dumah
(eefd)",,"dust
(e15d)",,"eagle
(ecc9)",,"ear
(e299)",
,"earn
(e0f5)",,"earthquake
(e159)",,"east
(ea38)",,"easy
(e092)",
,"eat
(e053)",,"Ebal
(efef)",,"Eber
(ec5a)",,"Eden_garden
(edd2)",
,"Eden_man
(e1e9)",,"Edom_land
(e1a7)",,"Edom_man
(e1a6)",,"Egypt
(ea44)",
,"Ehi
(efb8)",,"eight
(e293)",,"El
(edd3)",,"El_Elohe
(e1e4)",
,"Elah
(e1a9)",,"Elam_land
(eb6d)",,"Elam_man
(edd4)",,"Eldaah
(e1e3)",
,"elder
(eb62)",,"Eleazar
(ea70)",,"elect
(ec9f)",,"Eli
(ec44)",
,"Eliakim
(ea6b)",,"Eliezer
(ec5b)",,"Elijah
(e36a)",,"Eliphaz
(eff1)",
,"Elisha
(ec5c)",,"Eliud
(ea6f)",,"Elizabeth
(ec3a)",,"Ellasar
(edd6)",
,"Elmadam
(ec5d)",,"Elon
(edd7)",,"Emites
(efa8)",,"Emmaus
(ec5e)",
,"empty
(e277)",,"Enaim
(efb9)",,"encourage
(e262)",,"end
(e232)",
,"endure
(e170)",,"enemy
(e025)",,"Enoch
(ec5f)",,"Enos
(ec60)",
,"enter
(e242)",,"envy
(e022)",,"Epaenetus
(ebc1)",,"Epaphroditus
(ece4)",
,"Ephah
(e1ad)",,"Epher
(eefe)",,"Ephesus
(ec0c)",,"Ephraim
(eba3)",
,"Ephraim_land
(eba4)",,"Ephrath
(efba)",,"Ephron
(eeff)",,"Epicurean
(ec05)",
,"Er
(ec61)",,"Erastus
(ec0e)",,"Erech
(edd9)",,"Eri
(e1ae)",
,"Esau
(ebc2)",,"Esek
(edda)",,"Eshban
(eff2)",,"Eshkol
(eddb)",
,"Esli
(ec49)",,"Ethiopia
(ec32)",,"Eubulus
(ecb3)",,"Eunice
(ecb4)",
,"eunuch
(eb8f)",,"Euodia
(ece5)",,"Euphrates_river
(ecd8)",,"Eutychus
(eb1f)",
,"evangelist
(e13f)",,"Eve
(ebeb)",,"evening
(e273)",,"everyone
(e140)",
,"everything
(e114)",,"eveywhere
(e155)",,"example_pattern
(ecf0)",,"expain
(e059)",
,"eye
(e238)",,"Ezbon
(e1aa)",,"Ezer
(e1ab)",,"face
(e203)",
,"Fair_Haven
(ec18)",,"faithful
(e219)",,"fall
(e218)",,"family
(e176)",
,"famine
(e18d)",,"far
(e197)",,"farewell
(ec83)",,"farm
(eb91)",
,"fast_no_eat
(e18e)",,"fast_speed
(e21a)",,"fat
(ea86)",,"fat_animal
(eb11)",
,"father
(e003)",,"feast
(e054)",,"Felix
(eb99)",,"festival
(e20b)",
,"fig
(eda2)",,"fill
(e278)",,"find
(e101)",,"finger
(eba5)",
,"fire
(e301)",,"first
(e233)",,"fish
(e263)",,"fisherman
(e264)",
,"five
(e290)",,"fix
(e09d)",,"flesh
(e26b)",,"flip
(e31d)",
,"flood
(ece0)",,"flour
(ea35)",,"flower
(eb24)",,"flute
(ea8b)",
,"fly
(e25b)",,"follow
(e13e)",,"fool
(ea7c)",,"foot
(e13d)",
,"foreigner
(e158)",,"foreknowledge
(eb79)",,"forest
(ec27)",,"forgive
(e18f)",
,"Fortunatus
(eca4)",,"forward
(e318)",,"foundation
(e179)",,"four
(e28f)",
,"fox
(ea8a)",,"free
(e260)",,"free_no_cost
(ebe4)",,"Freedmen
(ec8e)",
,"friend
(e024)",,"frog
(ecf6)",,"from
(e31a)",,"fruit
(e27e)",
,"fulfill
(e0d2)",,"full
(e276)",,"futile
(e190)",,"future
(e16e)",
,"Gabriel
(ec39)",,"Gad
(ecbd)",,"Gadara
(e33f)",,"Gaham
(efbb)",
,"Gaius
(ec0f)",,"Galatia
(eb46)",,"Galeed
(efbc)",,"Galilee
(e337)",
,"Gallio
(eb3b)",,"Gamaliel
(eb4d)",,"garden
(eddc)",,"Gatam
(eff3)",
,"gate
(e289)",,"gathered
(e108)",,"Gaza
(eb7f)",,"generation
(e019)",
,"Gennesaret
(e341)",,"gentle
(e26d)",,"Gera
(efbd)",,"Gerar
(eddd)",
,"Gershon
(efbe)",,"Gether
(edde)",,"Gethsemane
(e34a)",,"Gideon
(ed03)",
,"gift
(e072)",,"Gihon
(eddf)",,"Gilead
(efa1)",,"Girgashites
(ede1)",
,"girl
(e009)",,"girls
(e00a)",,"give
(e086)",,"glass
(ecde)",
,"glory
(e217)",,"gluttony
(ea8c)",,"go
(e381)",,"go_down
(e080)",
,"goat
(ea7d)",,"God
(e036)",,"godly
(e130)",,"Gog
(ecf7)",
,"Goiim
(ede2)",,"gold
(eb2a)",,"Golgotha
(e34b)",,"Gomer
(ede3)",
,"Gomorrah
(ea7a)",,"gong
(ebe5)",,"good
(e096)",,"Goshen
(efbf)",
,"gospel
(e22b)",,"governor
(e0a3)",,"grace
(e01f)",,"grain
(e279)",
