,,Lycia,ec13,Acts,2,"dog: small,few: animal: village: many: neighbor: house: near",
,,Lydda,ec2e,Acts,2,work: village: many: neighbor: house: near,
,,Lydia,eb50,Acts,2,"woman: fire,heat,hot",
,,Lysias,ec37,Acts,2,"man: soldier: person: war,fight,battle: lead,leader: to,forward",
,,Lystra,eb44,Acts,2,"money,wealth,wealthy: village: many: neighbor: house: near",Levite
,,Macedonia,ec0d,Acts,2,"above,over: up: thing: land,ground,earth",
,,magician,ec8a,Acts,1,"man: eye,see: deceive,deception,false,lead_astray,lie",
,,Malta,ec19,Acts,2,"storm: island: wet,water: land,ground,earth",
,,Manaen,eb40,Acts,2,man: soft,
,,Media,eb70,Acts,2,"far: no,not: near: land,ground,earth",
,,Mesopotamia,eb72,Acts,2,"river,stream: land,ground,earth",
,,message,e22d,Acts,1,"teach,teaching: book,learn,read: mouth,said,speak",story:news:parable:report
,,metal,eb28,Acts,1,,
,,Midian,eb0f,Acts,2,"war,fight,battle: land,ground,earth",
,,Miletus,eb23,Acts,2,sheep: soft: village: many: neighbor: house: near,
,,Mitylene,eb21,Acts,2,knife: village: many: neighbor: house: near,
,,Mnason,eb26,Acts,2,"man: eye,see",
,,Molech,ec26,Acts,2,"crown,ruler,king,lord: silence,quiet: mouth,said,speak: no,not: thing",
,,Mount_Sinai,eb5c,Acts,2,thorn: mountain,
,,Myra,ec28,Acts,2,"plant,tree,wood: village: many: neighbor: house: near",
,,Mysia,eb4a,Acts,2,"end,finish: land,ground,earth",
,,Neopolis,eb4e,Acts,2,new: village: many: neighbor: house: near,
,,Nicanor,eb55,Acts,2,"man: war,fight,battle: crown,ruler,king,lord",
,,Nicolaus,eb56,Acts,2,"Crown,ruler,king,lord: war,fight,battle",
,,Pamphylia,eb6e,Acts,2,"family: house: love,compassion: land,ground,earth",
,,Paphos,eb9f,Acts,2,"fabric,clothing: island: wet,water: land,ground,earth",
,,Parmenas,eb57,Acts,2,man: stand: up: straight: person,
,,Parthia,eb0a,Acts,2,"fabric,clothing: mouth,said,speak: land,ground,earth",
,,Patara,ec23,Acts,2,"righteous,righteousness: good: work,do: village: many: neighbor: house: near",
,,Pentecost,ec81,Acts,2,"spirit: no,not: person: day,sun",
,,Perga,eb47,Acts,2,world: people: village: many: neighbor: house: near,
5,,permit,e04a,Acts,1,"mouth,said,speak: crown,ruler,king,lord",allow:permission
4,,persecute,e03e,Acts,1,"cross: very: hurt,pain: knife,cut: heart",tribulation:persecution
,,Pharaoh,ec94,Acts,2,"slave: thing: person: land,ground,earth: man: crown,ruler,king,lord",
,,philosopher,eco4,Acts,1,"person: because,purpose,reason,therefore: know,knowledge: ?",
,,Phoenix,ec29,Acts,2,boat: village: many: neighbor: house: near,
,,Phrygia,eb76,Acts,2,"dry: no,not: wet,water: land,ground,earth",
,,Pisidia,eb97,Acts,2,"sing,song: mouth,said,speak: walk: happy,joy: land,ground,earth",
,,Pontus,eb75,Acts,2,"big: new: wet,water: land,ground,earth",
27,,porch,eb5e,Acts,1,"door: thing: room: house: part,some",
,,Porcius,ec38,Acts,2,man: pig,
,,Prisicilla,eb18,Acts,2,"Woman: Wrong: no,not",
,,Prochorus,eb53,Acts,2,"man: sing,song: mouth,said,speak: walk: happy,joy",
,,Ptolemais,ec08,Acts,2,"man: love,compassion: war,fight,battle: village: many: neighbor: house: near",
,,Publius,ec1a,Acts,2,"man: part,some",
,,Put,eb73,Acts,2,"death,dead,die: no,not: heart: land,ground,earth",Libya
,,Puteoli,ec1e,Acts,2,"wet,water: village: many: neighbor: house: near",
,,Pyrrhus,eb1c,Acts,2,"man: fire,heat,hot: color",
,,relative,e176,Acts,1,"house: love,compassion",family
,,religion,ec33,Acts,1,"part,some: believe,faith: know,knowledge: cross",sect
,,Rhegium,ec1d,Acts,2,"break: knife,cut: all,whole: village: many: neighbor: house: near",
,,right_time,ed10,Acts,1,"mouth,said,speak: !: time,when",
,,Rome,eb16,Acts,2,strong: hand: big: knife: village: many: neighbor: house: near,
,,Salmone,ec15,Acts,2,"fabric,clothing: hill: small: mountain",
,,salvation,eb80,Acts,1,"god: crown,ruler,king,lord: man: love,compassion: very: help: straight: people",
,,Samos,ec25,Acts,2,"up: island: wet,water: land,ground,earth",
,,Samothrace,eb4c,Acts,2,"fabric,clothing: island: wet,water: land,ground,earth",
,,Samuel,eb8e,Acts,2,"man: hear,ear: god: crown,ruler,king,lord: love,compassion",
,,Sapphira,eb66,Acts,2,woman: face,
,,Saul,eb54,Acts,2,"man: ask,questioned: mouth,said,speak: ?",
,,savior,ec85,Acts,1,person: very: help: straight: people,
,,Sceva,eb19,Acts,2,man: left,
,,Sea_of_Reeds,eb0c,Acts,2,"ocean,sea: big: water,wet: plant,tree,wood",
,,sect,ec33,Acts,1,"part,some: believe,faith: know,knowledge: cross",religion
,,Secundus,eb1d,Acts,2,man: two,
,,Seleucia,eb42,Acts,2,"light: eye,see: day,sun: village: many: neighbor: house: near",
,,Sergius,eb45,Acts,2,man: world: people,
,,Sharon,ec2b,Acts,2,"Straight: land,ground.earth",
,,shave,eb27,Acts,1,"very: knife,cut: hair: face",
