0 csv2kmn.py
1 PT.csv
2 76
3 PT
['\ueb48', 'eb48', 'Bithynia', 'Bitínia']
['\uecd2', 'ecd2', 'bitter', 'amargo']
['\ueb86', 'eb86', 'black', 'preto']
['\ue05b', 'e05b', 'blaspheme', 'blasfemar']
['\ue05b', 'e05b', 'blasphemy', 'blasfêmia']
['\ueb8d', 'eb8d', 'Blastus', 'Blasto']
['\ued01', 'ed01', 'blemish', 'defeito']
['\ue05c', 'e05c', 'bless', 'abençoar']
['\uea21', 'ea21', 'blessed', 'abençoado']
['\ue05c', 'e05c', 'blessing', 'bênção']
['\ue192', 'e192', 'blind', 'cego']
['\ue087', 'e087', 'blood', 'sangue']
['\uecda', 'ecda', 'blue', 'azul']
['\ue14b', 'e14b', 'boast', 'alardear']
['\ue265', 'e265', 'boat', 'barco']
['\uea54', 'ea54', 'Boaz', 'Boaz']
[' \ue143', 'e143', 'body', 'corpo']
['\ue0b2', 'e0b2', 'bone', 'osso']
['\ue22a', 'e22a', 'book', 'livro']
['\ue235', 'e235', 'born', 'nascer']
['\ue119', 'e119', 'bottom', 'fundo']
['\ue25f', 'e25f', 'bound', 'limite']
['\ue210', 'e210', 'bow', 'arco']
['\uecc8', 'ecc8', 'bow_arrow', 'Arco-flecha']
['\ue384', 'e384', 'bowl', 'taça']
['\ue29e', 'e29e', 'box', 'caixa']
['\ue001', 'e001', 'boy', 'menino']
['\ue002', 'e002', 'boys', 'meninos']
['\ue246', 'e246', 'branch', 'ramificar']
['\ue196', 'e196', 'brave', 'valente']
['\ue05d', 'e05d', 'bread', 'pão']
['\ue0e1', 'e0e1', 'break', 'partir']
['\uecd5', 'ecd5', 'breastplate', 'peitoral']
['\uecee', 'ecee', 'breath', 'fõlego']
['\uecee', 'ecee', 'breathe', 'respirar']
['\uebdb', 'ebdb', 'bribe', 'subornar']
['\ue015', 'e015', 'bride', 'noiva']
['\ue21b', 'e21b', 'bright', 'brilhante']
['\ue088', 'e088', 'bring', 'trazer']
