,Aaron,eb0d,Arão
,David,e35e,Davi
,day,e15f,dia
,dead,e181,morto
,deaf,e191,surdo
,Decapolis,e33e,Decápolis
,deceive,e17f,enganar
,deceiver,e152,enganador
,deep,e321,profundo
,Demes,ecb2,Demes
,Demetrius,eb1a,Demétrio
,demon,eb87,demônio
,denarius,e165,denário
,deny,e0e5,negar
,Derbe,eb43,Derbe
,descend,e317,descer
,descendant,eb60,descendente
,desert,e156,deserto
,deserve,e0f5,merecer
,desire,e020,desejo
,destroy,e141,destruir
,Didymus,ebb6,Dídimo
,different,ecff,diferente
,difficult,e093,difícil
,dignify,e04b,dignificar
,Dionysius,eb78,Dionísio
,Diotrephes,ece2,Diótrefes
,direction,e323,direção
,dirt,e15b,sujeira
,dirty,e249,sujo
,disciple,e142,discípulo
,discipline,eda5,disciplina
,discourage,e261,desencorajar
,disease,e20a,doença
,disobedience,e193,desobediência
,divide,e326,dividir
,divorce,ea3d,divórcio
,do,e08c,fazer
,doctor,e144,médico
,dog,e104,cão
,dominion,e032,domínio
,donkey,ea09,asno
,door,e23e,porta
,Dorcas,ec2c,Dorcas
,doubt,e194,dúvida
,dough,ea36,massa
,dove,e25e,pomba
,down,e319,baixo
,dragon,ecdf,dragão
,dream,ea80,sonhar
,drunk,ea8d,bêbado
,Drusilla,eb9c,Drusila
,dry,e188,seco
,dust,e15d,poeira
,eagle,ecc9,águia
,ear,e299,orelha
,earth,e153,terra
,earthquake,e159,terremoto
,east,ea38,leste
,easy,e092,fácil
,eat,e053,comer
,Eber,ec5a,Héber
,Egypt,ea44,Egito
,eight,e293,oito
,Elam_land,eb6d,Elão
,elder,eb62,anciãos
,Eleazar,ea70,Eleazar
,elect,ec9f,eleger
,Eli,ec44,Eli
,Eliakim,ea6b,Eliaquim
,Eliezer,ec5b,Eliézer
,Elijah,e36a,Elias
,Elisha,ec5c,Eliseu
,Eliud,ea6f,Eliúde
,Elizabeth,ec3a,Isabel
,Elmadam,ec5d,Elmadã
,Emmaus,ec5e,Emaús
,Emmor,eb5d,Hamor
,empty,e277,esvaziar
,encourage,e262,encorajar
,end,e232,fim
,endure,e170,durar
,enemy,e025,inimigo
,enmity,e01b,inimizade
,Enoch,ec5f,Enoque
,Enos,ec60,Enos
,enter,e242,entrar
,Epaenetus,ebc1,Epêneto
,Epaphras,ece4,Epafras
,Ephesus,ec0c,Éfeso
,Ephraim_land,eba4,Cidade_Efraim
,Ephraim_man,eba3,Efraim
,Epicurean,ec05,Epicureus
,equal,e24b,igual
,Er,ec61,Er
,Erastus,ec0e,Erasto
,Esau,ebc2,Esaú
,Esli,ec49,Esli
,Eubulus,ecb3,Êubulo
,Eunice,ecb4,Eunice
,eunuch,eb8f,eunuco
,Euodia,ece5,Euodia
